text,labels
"আপনার প্রতিপক্ষ বছরে মাত্র ৬ লাখ টাকা আয় করেন , পারলে উনাকে একটু আর্থিক সাহায্য করবেন",negative
অভিন্দন সকল টাইগারদের,positive
গেইল তো গেইল -ই,positive
ধন্যবাদ সাকিব,positive
রাজনীতির এই বিধ্বংসী ও বিনাশী প্রবণতাকে কেবল অনুপ্রবেশকারী সমস্যা বলে পার পাওয়া যাবে বলে মনে হয় না৷,positive
দ্রুত ফাসি দেন,negative
এই ছোট্ট লাল সবুজ পতাকার দেশের গৌরব দিন দিন বাড়ুক তোমাদের হাতে,positive
বাংলাদেশে প্রতিটি বিভাগে দরকর হাই প্রোফাইল কোচ ও ফিজিও,positive
তার প্রতিদানে আওয়ামীলীগ আমাকে আর ভোট দিতেই দিল না,negative
অগণতান্ত্রিক সরকারকে কোনো সহযোগিতা নয়,negative
সন্ত্রাসের কাছে মাথা নত করা নয়,positive
এদের চেহারা কি চেনা যাচ্ছে?,negative
বোঝা গেল তারা (বিএনপি) ক্ষমতালোভী,negative
এমনিতেই ডুবেছে এখন দ্রুত তলিয়ে যেতে চাচ্ছে,negative
মুসফিকের খেলা অনবদ্য লাগল,positive
আনন্দ হচ্চে গো দাদা,positive
এই নির্বাচন কমিশন আমার দেখা সবচাইতে অথর্ব কমিশন,negative
"আর বারবার এই তরুণ তুর্কি শব্দদ্বয় ব্যবহারের কারনটা কী?? বাংলা ভাষায় কি আর কোন বিশেষণ নেই, নাকি রিপোর্টার মহোদয় আগের সংবাদের মন্তব্যগুলি পড়েন না???",negative
সাবাশ সিদ্দিকুর রহমান ভাই,positive
আমি ব্যক্তিগতভাবে মনেকরি আমাদের চেতনার বাক নেওয়া ও মুজিব হত্যার জন্য জাসদ ১০০ % দায়ি,negative
গাদ্দাফি আর চসেস্কুর মতো শাসকের বন্দুকের জোরে যুগের পর যুগ শাসন করেছে,negative
সুপার টেনেও এই ধারাবাহিকতা দেখতে চাই,positive
রোনাল্ডো একজনই - R9...তবে ক্রিশ্চিয়ানোও একজন - CR7,positive
ওকে আমার ভালোই লাগে না,negative
মনে হয় দুনিয়াতে আর কোনো দেশ খেলে না,negative
"ক্রিকেটার মাশরাফি হয়তো অবসর নিবে, কিন্তু মানুষ মাশরাফি যেন কখনো অবসর না নেয়",positive
"৬৭ বছরের পুরানো দলটি এখন যেভাবে বিরুধী মতের লোকদের দমন করছে, তা ইতিহাসে লেখা হয়ে থাকবে",positive
সুশাসনের অভাব থাকলে সিসিটিভি ক্যামেরা দিয়ে কি কিছু হবে?,negative
ওয়াহ্,positive
সরকারের মন্ত্রী বললে সরকার প্রধানের বলা হয়ে যায়,positive
তবে ভালো মানুষ নিশ্চয়ই আছে,positive
"ভাইরে, তাহলে তো আবার জ্বালাও পোড়াও শুরু হবে",negative
মজাই আলাদা,positive
তাহলেই যুক্তিসংগত হতো,positive
তাতে কি সমস্যা?,positive
কাঁচের দেওয়ালের মত এক দিন সব ভেঙ্গে যাবে,negative
শিক্ষকদের এই অপরাজনীতি না করলে হয়না?,negative
মুখে অনেক কিছু বলা যায়,negative
"স্কটল্যান্ড কে অধিনায়কই রান বেড়ে দিয়েছ, উনি জেনেও স্পিন দিয়ে খেলে নাই কেন?",positive
বিয়ে করে যখন ফরম পরতির দিকে থাকে,negative
রাজাকার জোটের বোমায় দেশ লন্ডভন্ড হচ্চে সরকারকে আরো কঠোর হতে হবে এই জঙ্গিদের প্রতিরোধে,positive
আপনারা নিরাপদ দুরত্বেই থাকুন ! লিখেই ক্ষ্যান্ত দিন ! দায়িত্ব এড়ানোর মিনিমাম দায় আপনাদের কবে নাড়া দিবে ? আপনারা না আমাদের বিবেক ! আমাদের রক্তাক্ত মুখ আপনাদের কষ্ট দেয় না ?,negative
আমরা হেগের কাছে বিচার চাই,positive
"জামাতের মানবতাবিরাধী অপরাধীর পক্ষে যদি বি , এন পির ওকিল ব্যারিস্টাররা লড়তে পারে তাহলে এখানে কামরুলের পক্ষে লড়তে অসুবিধা কোথায় ? @ আমিনুর",negative
ইনশাআল্লাহ সমস্যা হবে না,positive
এ বছর সাহিত্যে নোবেল পেয়েছেন ফরাসি কথাসাহিত্যিক পাত্রিক মোদিয়ানো,positive
লুণ্ঠনকারীদের দখলে আজ বঙ্গবন্ধুর আওয়ামী লীগ,negative
লিখে রাখেন এদেশে আর কোন দিন অবাধ সুষ্ঠ নিরপেক্ষ নির্বাচন হবে না,negative
"প্রকাশক, লেখক, কবি-সাহিত্যিক-শিল্পী-সাংবাদিকরা এখন সবাই দলীয় বৃত্তের বাইরে গিয়ে লিখছেনা বলেই আমরা ভাল বই পাচ্ছিনা",negative
এবার বলবেন বাস মিস করেছে,negative
তথ্য উপাত্থের মাধ্যমে সুন্দরভাবে বুঝিয়ে দেয়া হয়েছে নির্বাচনে কারচুপির বিষয়টা,positive
আজ মাঠে নাসির কে দেখতে চাই,positive
"ভবিষ্যতে ছেলে-মেয়ে, নাতি-নাত্নির কাছে যখন অতীত জীবনের কথা বলবো তখন তারা কতটাই অবাক হবে ভেবে পাচ্ছিনা",negative
তাই বলছি লজ্জা ২ দলেরই থাকা উচিত,negative
ইয়েস,positive
আমারও তাই মনে হয়েছে,positive
"ধন্যবাদ, চমৎকার লিখলেন",positive
তাই তো বলি আমার ব্যাংকদের রিজার্ভের টাকা কই যায়?? ধর্মের কল বাতাসে নরে....... সব বের হবে....... কে এবং কাদের জন্যে সারা দেশের ব্যংকের অবস্থা এতো করুণ,negative
বাপী দে (কলকাতা)–কে বলছি- আজ মনে হয় আপনি একটু বেশী এক্সাইটেড?,positive
আগামী তিনটি গুরুত্বপুর্ন খেলায় আমার দেশের টিমকেই আমি সাপোর্ট করে যাব,positive
আমিতো চাই দাদা বাংলাদেশের ব্যাটিং কোচ হয়ে আসুক,positive
ব্রেকিং নিউজ দেখলাম খালেদ মাহমুদকে উদ্ধৃত করে যে শুধুমাত্র শৃঙ্খলাভঙ্গের জন্য তাকে দেশে পাঠানো হচ্ছে,negative
কার কাছে গনতন্ত্র নিরাপদ,negative
খালি ছাত্রলীগ আর ছাত্রদলের দুর্নীতির সংবাদ প্রকাশ পায় কেন ? শিবির কি দুর্নীতি করে না,negative
"ভাই, খরব না থাকলে যা হয় আর কি????",negative
ভারতীয়রাই শ্রীনিবাসন'কে ধিক্কার দিচ্ছে কিন্তু এটা অধিকাংশ ভারতীয়দের মত নয়,negative
"সেই রাতে তাহের ও তার বাহিনী যত গুলি খুন করেছে তার বিচারের কারনে যদি জিয়াকে আপনি খুনি বলেন, তাহলে মুজিবকে খুনের দায়ে ফারুক-রশিদ-ডালিমের বিচার হওয়াও খুনের আওতায় পড়ে |",negative
"ঠিক কথা, হক কথা!! আমাদের সেনারা প্রস্তুত দেশের সব প্রয়োজনে ভুমিকা রাখতে কিন্তু তাদেরতো ঢাকতে হবে",positive
এ ভন্ডামির শেষ কোথায় ? সত্যিকারের দিক নিরদেশহিন এ জাতি বিশাল সমুদরে বিরামহিন দা বেয়েই যাবে চিরকাল,negative
"তামাশার বেবস্থা আপনারাই করে দিয়েছেন , আগেই নির্বাচন বর্জনের সিদ্ধান্তর কারনেই কেন্দ্রে এজেন্ট পাঠান নি , সে সুযোগ অন্যরা নিল",positive
জার্মানির খেলা খুব ভাল লেগেছে,positive
আমারা বিশ্বকাপ আনবো সেই দিন বেশি দূরে না্‌,positive
তার পর কি সারাজীবনের মতো বিদায়,negative
"তারেক হাওয়া থেকে পাওয়া ইতিহাস বলে , এই জন্যই তারেক ইংল্যান্ড থাকে",negative
সেই সাথে এটাও বলা যায় যে আঁতুড়ঘরেই তত্ত্বাবধায়ক সরকারকে হত্যা করা হয়েছে,negative
"বাংলাদেশের নেতারা ওয়েষট মিনিষটারের উদাহরন দেয়, আছে বুকের পাটা এইরকম ক্যামেরনের মত ?",negative
সময়োপযোগী ও সঠিক সিদ্ধান্তকে সাধুবাদ,positive
"আদালতের রায় বিপক্কে গেলে গাড়ী ভাংগবে, বিনা উসকানীতে পুলিশ মারবে, এইসবইতো শিবিরের ধর্ম",negative
কেউই আপনাদেরকে কোনো কিছুতেই বিশ্বাস করতে পারছে না,negative
বাংলাদেশের দুই সোনার মেয়েকে অভিনন্দন,positive
"উনারা খালি নিতে জানে, দিতে জানে না",negative
ম্যানেজমেন্ট চাইলে সজিব আউট নুরল ইন,negative
লেখাটি পড়ার পর নিজেকে পরাধীন পরাধীন মনে হচ্ছে,negative
নেইমার সেরা,positive
আমরা নাসিরকে জানিয়েছি সমবেদনা আর ওরা করল ভর্ত্সনা,negative
আবারও সেই অদৃশ্য কালোছায়া... মনটাই খারাপ হয়ে গেল,negative
"ডাক্তার, আর রিকশাওয়ালা কথা না, ভালো মানুষ সব জায়গায় সন্মান পায়",positive
আমি দোয়া করি অনার সফলতা,positive
আসুন আমরা সবুর করি,positive
ভাই বিয়ে কইরেন না,negative
কারসাজি ও কেলেঙ্কারীর নায়কদের বিরুদ্ধে কি যথাযথ ব্যবস্থা গ্রহণ করা হয়েছে?????,negative
"শুধু সময়ের অপেক্ষা, সাবাশ বাংলাদেশ",positive
১৯৭১ এর সেই দেওয়া টা কি ভুলে গেলেন?,negative
আমরা অবরুদ্ধ,negative
হলুদ খামের ভেতর অত্যন্ত গোপনীয় হলুদপত্র,negative
আলোচনায় বসলে জট ফট কিছু খুলবে না.........যেই দেশের সেই রীতি,negative
আফসোস,positive
আর সেটা হবে বিরাট একটা ভুল,negative
যা ইচ্ছে তাই করতে পারি-এ মৃত্যু উপত্যাকা আমার দেশ না,negative
যেটা পাবো বোনাস বলে ধরে নিব,positive
'তাঁর এ মন্তব্যের মধ্য দিয়ে গতকাল মতানৈক্য ছাড়াই শেষ হয় ওই নিরাপত্তা সম্মেলন,negative
গ-ন-ত-ন-ত্র-র বানান টা যেন কিভাবে?? ঠিক মনে করতে পারছি না,negative
"সব প্রশ্ন উঠে না, সামান্যতম মত সহ্য করার ক্ষমতা ৫ জানুয়ারির সরকারের নেই সেটি পরিষ্কার",negative
যে দল বাংলাদেশকে স্বীকার করে না তাদের এ দেশে রাজনীতি করতে বলছে কে? ভাইসব আপনারা পাকিস্তান গিয়া রাজনীতি করেন এ দেশে না কারন এটা স্বাধীন বাংলাদেশ,negative
ধন্যবাদ,positive
অনুমোদিত জুয়ার বোর্ডে টাকা বাজী ধরেছেন আপনি এতে আমি জিতলে সরকার আমার টাকা কেড়ে নেবে ?,positive
নির্বাচন কমিশনার রকিব সাহেব ইতিহাসে স্মরনীয় হয়ে থাকবে শক্তিশালী কমিশনার হিসেবে,positive
শুভ কামনা রইল,positive
"ভুল বললেন, বোমা-কক্টেল’ কে সবাই ভয় পেলে এরা আন্দোলনে সফল হতো অনেক আগেই এবং সরকার পতন হতো",negative
"সব ভন্ডামি মানুষ বুঝে, তাই তো এদের বিকল্প মার্কা খুজে",negative
আপিলের রায় নিয়ে দেশবাসির মনে নানা প্রশ্নের দেখা দিয়েছে,negative
আমাদের জিন থেকে বিনা কারণে ট্রেনে ঢিল মেরে মানুষ হত্যার প্রবণতা দূর করতে পারবে কি,negative
ওদের দেখা মাত্রই গুলির নির্দেম চাই,negative
"কারন দলটি যে কায়দায় গড়ে উঠেছে, তাতে এর বাইরে যাওয়া তাদের জন্য কঠিন",negative
ধন্যবাদ,positive
দেশে ন্যয়বিচার প্রতিষিঠত হোক,positive
আর এই ভিআইপিদের জন্য ঘন্টার পর ঘন্টা রাস্তায় আটকে থাকতে হয়,negative
রাজাকার জোট নিপাত যাক,negative
সঙ্গে সঙ্গে 'নাই' হয়ে যাবেন,negative
জনমত জরিপকে সমমান করতে হবে,positive
"অনিচ্ছা সত্ত্বেও লেখাটি পড়লাম,কিন্তু গতকালেরর ম্যাচের বাজে আম্পায়রিং নিয়ে একটি শব্দও উচ্চারন করেননি এই ভারতীয় লিজেন্ড",negative
"অভিনন্দন তামিম ইকবাল, এইটা তোমার প্রাপ্য ছিল|",positive
সাহসহীন পাবলিক ভোটের বাস্তবতায় অনেক সচেতন ! কাজেই উন্নয়নের কৃত্রিম ভেল্কিবাজী দিয়ে তাদের যে পক্ষে টানা সহজ নয় সেটা সরকার দলীয় প্রার্থীরা বুঝবে ভোট গননার পর,negative
কিন্ত বডি ল্যাংগুয়েজ দেখে মনে হচছে দলের সবাই কেন যেন ভীত,negative
মানুষ বিএনপি করে দেশের প্রতি ভালবাসা থেকে নিজের বিবেকের প্রতি দায়বদ্ধতা থেকে,positive
ভাড়া না খাটলে সোনার ছেলেরা কি করবে ? তবে সরকারি যায়গা দখল না করে একটা ওয়েব সাইট খুললেই ভাল হবে,negative
উন্নয়ন যাত্রাপালা কি শুরুতেই শেষ হয়ে গেল ?,negative
এই সংবাদ বেশিক্ষণ চলতে দেয়া যায়না....... জামায়াতের কোন নেতার ফাসির সংবাদ দ্রুত তৈরী করতে হবে,negative
"আমি বলবো পুরো দোষ আমাদের ম্যানেজমেন্টের, তাদেরকে এসব বিষয়ে সচেতন করা হয়নি",negative
সেজন্য সরকার বিরোধী আন্দোলনও ভারপ্রাপ্ত অবস্থায় আছে,negative
"এতে কি আমার বোন, আমার পুত্র- কন্যা, তাদের বয়সী অন্যেরা রাস্তাঘাটে নিরাপদে থাকবে, তাদের নিরাপত্তা নিশ্চিত হবে, আমি আমার কথা বলতে পারবো, সাদাকে সাদা, কালোকে কালো বলতে পারবো",positive
কলংকিত এক ইলেকশনের দায এখন আওয়ামি লীগের ঘাড়ে ! বাকশালের মত আর এক কলংক আওয়ামি রাজনীতিতে ! সমলীংগের সংসদ ! ১৫৩ জন অটো এমপি ! বাকী সব এমপি ৫ % ভোটে,negative
শামীম ভাইয়ের মত নেতা দরকার এই বাংলায়,positive
বিশ্ববিদ্যালয় মঞ্জুরি কমিশন হল দূর্নীতির আখড়া,negative
রাতে নিশ্চিন্ত মনে ঘুমুতে,positive
ব্রাউজার দিয়ে এত ঝামেলা না করে সোজা ফেসবুক সেটিং এ গিয়ে খুব সহজেই অটো প্লে বন্ধ করা যায়,negative
"মোহাম্মদ অালী,অাপনার দৃঢ়তার জন্য অাপনাকে সালাম ও অভিনন্দন",positive
বিএনপি এমন যে আলোচনা করতে গেলেই অম্রানি ক্ষমতা ছো মেরে নিয়ে নেবে ??? ক্ষমতা নিয়ে কী করবে ? এই দিবা স্বপ্ন আর কতদিন ??,negative
"মনে করছিলেন BNP নির্বাচনে আসবে না , সে শুযোগে সব দখল করে নিবেন",negative
"দেশের প্রথম স্বৈরাচার জেনারেল জিয়া, এই কথাটা বললেন না যে",negative
বাংলাদেশে নিরবাচন হয়,negative
আমরা আছি তোমার সমর্থনে,positive
"কার কাছে সত্য জানতে চান, সেটা স্পষ্ট করে বলুন",positive
খুব ভালো লাগলো লেখাটি পড়ে,positive
"ভর্তি পরীক্ষায় সঠিক ভাবে পাশ করে ভর্তি হলে এদের হাতে কলমই থাকত,অস্ত্র নয়",negative
জামাত একটি সন্ত্রাসী সংগঠন,negative
একদম উচিত হয়ছে,positive
সাধারন মানুষকে না মেরে বিএনপিরা কি পারে না শেখ হাসিনার বাড়িতে ককটেল মাড়তে |,negative
যথার্থ বলেছেন,positive
১০০ ভাগ সত্য কথা সুশাসন না থাকাতেই মানুষের মধ্যে নিষ্ঠুরতা বেড়েই যাচ্ছে,negative
"আনন্দের মাঝেও ত্রুটি, মমিনুল দলে ছিলো না",negative
বদরুল এর প্রমেশন হবে,positive
নিরবাচন কমিসনের কি দরকার,negative
এখন র‌্যাব সন্ত্রাসী বান্ধব এবং সাধারণের যম,negative
মাহির বাপকে কে মেরেছিল ??? সেই বি এন পি,negative
১০০ ভাগ সঠিক !কোন এক ইসকুলের ক্মপিউটর শিখখক ইসক্যানার দিয়ে ইসক্যান করতে পারে না অথচ সে ক্মপিউটর শিখখক,positive
ভাই ২০০১ সালের কাহিনী নিয়ে এসে লাভ কি?,negative
তা হলে আপনাদের দরকারকি,negative
কাজেই এর চেয়ে সময়োচিত আর কিছু হতে পারে না,positive
রজন হত্যার সকল অপরাধিদের ফাঁসি চাই,positive
"মুশফিক -মাশরাফির মত ১০০ ভাগ ঢেলে দেওয়ার ইচ্ছা-টা এখন দলের সবার মাঝে , আর এটাই আমাদের সপ্নের আকাশে ডানা মেলার মুল মন্ত্র",positive
"এভাবেই টাকার ব্যবহার হয় এদেশে, আসলে কোথায় যায় এই টাকা? কাদের পকেটে হয় এই স্থান?",negative
তারা সেখানে যাওয়ার জন্যে অনেক টাকা দিয়েছে,positive
জামাতি তান্ডব কি রাজনৈতিক সহিংসতা? না কি সিম্পল সন্ত্রাসবাদ? ড্রোন প্ররণ করে সন্ত্রাসী হত্যা তাহলে কি? নাভি পিল্লাইয়ের মুখপাত্র রুপার্ট কোলভিলেরা সে বিষয়ে কি করবেন?,negative
কারও পখে বলার মত কিছু নাই,negative
অনেকের মাথা সেইরকম হ্যাক করা যায় বা বহুল প্রচলিত ভাষায় 'মগজ ধোলাই' যাতে একেবারে নাটের গুরুদের জন্য জান কোরবান করে দেয় যা আমরা সাম্প্রতিক দেখতে পাচ্ছি,negative
অনেক অনেক শুভ কামনা,positive
হীরক রাজার দেশে মুভিটার কথা মনে আছে তো ?,negative
"আমার লেখা সেখানে আছে, সাথে আল-আমিনের ছবিও পাবেন",positive
জনগণ এখন পদ্মা সেতু দিয়ে চলার সুযোগ পেত,negative
কাকে কি বলছেন,negative
"এত কিছু বললেন, আওয়ামি লীগকে এই ....তন্ত্র কায়েম করার অধিকার কে দিয়েছে তা বললেন না?",negative
অহংকার করবেন না,negative
সুষ্ঠু নির্বাচন? আওয়ামিলীগ ১০০ তে ৫%,negative
খবর টা বিস্বাস না করলে রাত ১২ টার পর লকাল বাসে উঠলে ই টের পাবেন,negative
"বিবেকের সাথে আপষ না করে আমাদের সবাইকে নিজেদের কাজ টুকু করতে হবে দায়িত্তের সাথে, তাহলেই দেশ উপক্রিত হবে",positive
ইচ্ছা হচ্ছে বাইরে গিয়ে আমিও সবার সাথে লাফালাফি-নাচানাচি করি,positive
"অত্যন্ত সুন্দর, তথ্যবহুল এবং বিশ্লেষণধর্মী লেখা",positive
মতামতের জায়গায় আপনারা কেন পাঠকের মতামত বাদ দিয়ে দেন বা এডিট করেন ?,negative
আমরা তাঁর সাফল্যের অপেক্ষায় রইলাম,positive
মাহি ভয়ে ভয়ে আছে,negative
কুন্ডু যে পদ্দতি শুরু করেছেন আপনারা !!!!!!!!!!!!!!!!! কাপ একটা বানিয়ে বাড়ি নিয়ে যান | খেলার দরকার কি ??????????????????????,negative
"এখনই সারে চার বা পাচ ঘন্টায় চট্টগ্রাম যাওয়া যায় আমার নিজের অবিজ্ঞতা থেকেই বলছি, এটা একটা ভাল দিক",positive
"হংকংয়ের কাছে হারার পর পরবর্তী ধাপে বাংলাদেশ কতটা এগিয়ে যেতে পারবে, তা নিয়ে দুঃশ্চিন্তায় পড়লাম",negative
তরুনসমাজ তাঁর সাথে আছে,positive
"ভাই ডাক্তাররা সরকারী চাকরি করে, তাই সরকারী লোক ডাকায় দরকারী মনে করে গিয়েছে, না হয় পোসটিং হবে গহীন অনচলে",negative
নির্বাচনে অংশগ্রহন করে ইসি ও আম্লিগের সরূপ জনগনের সামনে উন্মোচিত করে দেওয়ার জন্য বিএনপিকে ধন্যবাদ,negative
শান্তিতে নোবেল দেয়া যেতে পারে,positive
কামড় দেওয়ার জন্যই মনে হয় দাত একটু বড়,negative
ভাই মাহামুদ ভীষন একটা লেখা লিখলেন !সত্য কথা,positive
আমাদের বাংলাদেশকে ১৯মার্চ ১৪ জন খেলাই হারিয়ে ছিল আজ তারা ১১জন তাই হেরেছে,negative
হ্যা আমরা বুঝতে পেরেছি জনগনই আপনার সেনাবাহিনী হা হা হা,negative
Razib ভুল,negative
সেলফি ব্যবসা বাদ দিয়ে খেলাই মনযোগ দেয়া উচিত,negative
দেশ কাদের হাতে এবার বোঝ? লও ঠেলা,negative
"লজ্জাবোধ আছে, তাই হয়তো নাম লুকান, ফিরে যাবেন ৭১এর আগে, দোষ আপনাদের নয়, দোষ ৭১ এর বীরঙ্গনাদের",negative
তবে আমাদের সময়ের অভাব হয় না সময় অপচয়কারী টকশো আর হিংসা বিদ্বেষ বিস্তারকারী টিভি সিরিয়াল দেখার,negative
"কোন ফাইনালে পাকিস্তান,ভারত, শ্রীলংকা অষ্ট্রেলিয়ার সাথে কনটেষ্ট করতে পারে নাই",negative
"সংসদে না বসে কোন এক কফি শপে বসে সবাই মিলে আড্ডা দিত সেটাই ভাল ছিল কারন সংসদকেতো একটা আড্ডাখানা বানিইয়ে ফেলেছে, এখানে কাজের কাজ কিছুই হয়না",negative
একজন আর্জেন্টিনার সমর্থক হিসেবে আমিও চাই তারা কাপের জন্য লড়াই করুক আর সেখানে আর্জেন্টিনা জয় নিয়ে মাঠ ছাড়ুক,positive
"এ কথায় বুঝা যাচ্ছে আমারা অর্থাৎ ঢাকাবাসিরা ভোট দিলেও পাশ না দিলেও পাশ, ভোটের কোন প্রয়োজন নেই অথবা সব ভোট পকেটে",negative
"সরকার জঙ্গীর জুঝু দেখিয়ে মানুষের ভোট ছিনতাই করলো, কিন্তু এখন তো দেখি সত্যিই জঙ্গী আছে????",positive
অনেক বিত্তশালীরা ঈদে প্রতিযোগীতা করে লক্ষ টাকা খরচ করে কোরবানী দেন,negative
