text,labels
ধারাভাষ্যকার হিসেবে নয় এক কাপ চায়ের দাওয়াত দিতে উপস্থিত হয়েছিলেন,positive
"তাদের বিচার না হোক, অন্তত আমরা বাইরে কোথাও দেখলে ঘৃনা করতে বা বলতে পারতাম-ঐ যে যায় আমার টাকা চোর",negative
ফারুকীর টেলিফিল্ম মার্কা ছবিগুলা দেখতে দেখতে বিরক্ত দর্শক,negative
তাহলে কি সে ভাল মানুষ ? না,negative
ষড়যন্ত্রের রাজনীতিই ডুবিয়েছে আমাদের,negative
চার দিকে উড়ে এসে জুড়ে বসারা,negative
এরা প্রতারকের চেয়েও বড় প্রতারক,negative
সেটাই খারাপ দিন আসতেই পারে,negative
হুম দুর্গন্ধ পচা ইলিশ,negative
২০ রান কম হয়ে গেছে শেষের সারির ব্যাটসম্যানদের জন্য,negative
"কিন্তু সব সূত্রই নিশ্চিত করেছে যে তিনি একজন ঐকান্তিক জাতীয়তাবাদী, বাংলাদেশের সার্বভৌমত্ব প্রশ্নে যাঁর জীবন উৎসর্গীকৃত",positive
তারা ভুল করে না,positive
"আমজনতার নেতা উনি, আমি উনার শতায়ু কামনা করি",positive
সঠিক কথা বলেছেন,positive
সুজন যদিও নির্বাচিত পরিচালক তবে চলতি দায়িত্বের বিষয়ে অন্যকিছু ভাবা বিসিবির উচিত ছিল |,negative
"ভীতি অথবা অতিরিক্ত সতর্কতা, যাই বলেন না কেন আসলে সচেতনতাই ওদের এতদূর টেনে এনেছে",positive
এভাবেই সমাজের সকল অন্যায়ের পতিরোধ করতে হবে,positive
মোটে ৫ হাজার,negative
দুর্ভাগ্যজনক হ’ল- আপনাদের চোখের ঠুলি কোনদিনও অপসারণ হওয়ার নয়,negative
রাজনৈতিক মহলে গুঞ্জন রয়েছে যে তারেক রহমানের প্রবল আপত্তির কারণেই মির্জা সাহেবের ভারপ্রাপ্তের ভারমুক্তি হচ্ছে না - আপনি এতো চিনতিতো কেনো?,negative
"টাইগাররা গর্জে ওঠো, আর এগিয়ে যাও, ১৬ কোটি মানুষের আশীর্বাদ আছে তোমাদের সাথে",positive
গুম মনে হয় কিছু কম হয়েছে,negative
যার জন্য এই অঞ্চলের মানুষের মাথার উপরে কাঠাল রেখে ইংরেজরা কোয়া খেয়ে যেতে পেরেছে,positive
আমরা নিজ যোগ্যতায় এগিয়ে যেতে চাই,positive
সত্যি উনি যখন জাতীয় স‌‌্গীত এর সময়ে কাদছিল দেশের মানুষ অনেকে উনার সাথে কাদছে,positive
কি থেকে কি হয়ে যায় কেউ জানেনা,negative
অন্যের (জামাত-হেফাজত) কাঁধে বন্ধুক রেখে শিকার করতে করতে এখন নিজের কাধই এত দূর্বল যে বন্ধুক আর বহন করতে পারে না,negative
"আমাদের উচিত হবে সাহিত্য, বিজ্ঞান, প্রযুক্তি প্রভৃতির উন্নতি সাধনে চেষ্টা করা",positive
"আসলেই , প্রথমে মন খারাপ হয়েছিল , কিন্তু ভোট ডাকাতির মহোৎসব দেখার পর মনটা ভাল হয়ে গেল",negative
"একারণেই ভারতীয়রা যে সমস্যা প্যাঁচ দিয়ে সমাধান করতে চায়, আফগানরা সেটা তলোয়ার দিয়ে মেটাতে চায়",negative
নিয়োগে দূর্নীতি যতদিন যাবে না এবং মেধাবার মূল্যায়ন যতদিন না হবে ততদিন এই অব্যবস্থার কোন প্রতিরোধ হবে না,negative
আমি খুব খুশি বাংলাদেশের সুপার খেলা খেলার জন্য,positive
"এ লেখা থেকে কিভাবে লিখতে হয়, তা শেখার আছে",positive
"দেশে তো কোনো দুর্নীতিই হয় না, আবার পাচার হবে কি?",negative
খাটি কথা,positive
যোদ্ধপরাধের বিচারের মধ্যদিয়ে বাঙ্গালী জাতি মর্যাদার আসন নিশ্চিত করছে,positive
কালকের ম্যাচে দান্তের খেলা নিয়ে আমার সন্দেহ হয়েছিল,negative
আমার গুরু,positive
কিন্তু কেউ বুঝেনা,negative
"আজকের মেসি, রোনাল্ডো সহ সব গ্রেট খেলোয়াড় যারা আজ সাফল্যের শিখরে অবস্থান করছেন, তাদের প্রায় সবারই শৈশব ছিল দারিদ্রতার সাথে বসবাস",positive
তাদেরকেও নিষিদ্ধ করা হউক,negative
এক কথায় বলা যায় ছাত্রীটি সুবিচার পায়নি,negative
কাড়ি কাড়ি ডলার খরচ করে বিদেশি কোচ পুষে কি লাভ?,negative
"বিএনপি হারেনি, হেরেছে বাংলাদেশ, হেরেছে গণতন্ত্র, হেরেছে সার্বভৌমত্ব",negative
শুধু এক্সাম এ খারাপ করে,negative
এই যদি হয় আমাদের দেশের মন্ত্রী তাহলে নিশ্চয় বুজতে পারছেন দেশের কতটা বাজতে পারে,negative
সাধারণ মানুষদের এতটা কষ্ট দেওয়ার পরেও জনগণ লম্বা লাইন ধরে ভোট দিবে দাদী আম্মাদের,negative
ফেবুতে টাকা দিয়ে বিজ্ঞাপন দিয়ে বানানো ফ্যান তার জন্য আবার রিপোর্ট গুড,negative
দেশটি কারো বাপ দাদার তাল্লুক ভাবলে যায় হয় আর কি! এ জাতি এখন অধঃপতেনের চূড়ান্ত সীমায় অবস্থান করছে বলে মনে হচ্ছে,negative
SULTAN....... আগে এড মিশন টেষট তার পরে কাননা ! তবু ও শুভ কামনা,positive
আওয়ামী লীগ কি কখনো গুনের কদর করেছে ?,negative
কে করবে বিচার ? সব রসুনের একই জাত,negative
"দেশবাসীর তো এহন এটাই বড় চিন্তা, এই চিন্তায়ে তো আমি এহন- ও জাইগা কমেন্ট করতাছে, কি করুম চিন্তায়ে ঘুম আহে না",negative
আজেবাজে সংবাদ,negative
যান আপনাদের কে কাপটাই দিয়ে দিলাম,positive
হঠাত পত্রিকায় কলাম লিখে ফেলা. নিজের কর্মের ব্যাখ্যা আগে দেন,negative
দারুন,positive
আপনাদের মতো ছাত্রলীগ চাঁদা চাইয়া বইসা থাকে,negative
বিএনপি’কে বলব হামলাকারীদের ছবি সুসংরক্ষিত করে রাখুন,positive
আজকে টি২০ বিশ্বকাপ ২০১৪ এ প্রথমবারের জন্য মাঠে যাচ্ছি,positive
অবাধ সুষ্ঠ নির্বাচন যাতে না হয় তা নিয়ে উনি (হাসিনা) নাটক করছেন,negative
২ নেত্রীই তাদের পুরাতন কীর্তি কলাপ ভুলে গেছেন,negative
দোয়া করি অাল্লাহ অাপনাকে ভাল রাখুন,positive
এরশাদকে আর স্বৈরাচার বলিয়া লজ্জা পাইবেন না,negative
লেখাটা পড়ে খুবই ভালো লাগলো,positive
অনলাইন কি খাই না মাথায় দেয়? বিশ্বাস করেন জর্জ সাহেব আমি জীবনেও অনলাইন এ কিছু লিখিনি,negative
"আল্লাহ চাহেত ২০১৫ হজ্জে যাওয়ার ইচ্ছে অনুযায়ী টাকা জমা দিয়ে ডিজিটাল পাসপোর্টের জন্য আবেদন করেছি , আল্লাহ আমার উপর আপনার ফরজ জেন পালন করতে পারি তাওফিক দিন",positive
এহেন সমস্যা থেকে মুক্তির উপায় আছেঃ উভয় দলকে ত্যাগ স্বীকার করতে হবে,positive
এদের আরো ধরা হোক,positive
দুআ করি যেন কাল ভারতকে হারিয়ে ১০০০ গজের পতাকা নিয়ে মিছিল করতে পারি,positive
চাপ ইন্ডিয়ার উপর অনেক অনেক বেশী,positive
শ্রমিকদের ঘামের গন্ধ মালিকের গায়ে কখনো থাকে না,negative
এটা ঠিক নয়,negative
আজ মাঠে নাসির কে দেখতে চাই,positive
বাকি খেলোয়াড়রা কি করবে সেটা বুঝাই যাচছে,negative
লেখক এই প্রথম কল্পনার জগৎ ছেড়ে বাস্তবে এলেন,positive
ইসতেহার কি পরের ইলেকশনের জন্য !! ঘত ৫ বছর যা পারেন নি তা পরের ১৫ বছরেও হবে না,negative
এক মাত্র তিনিই পারেন ন্যায় বিচার করতে,positive
দেশকে হায়েনা মুক্ত করতে হবে,positive
এখন যুক্ত রাষ্ট্রকেও এই দানবের আঘাত সইতে হবে প্রতিনয়ত,negative
যে চাকাটিতে দেশ চলছে সে চাকাটির নাট-বল্টু-টায়ার-টিউব সব ঠিকঠাক আছে তো?,negative
ভাল লেখা সার ...... তারপর ও আমাদের দেশ একি ভাবে চলবে .... আর আমরা সব সহে যাব,negative
তুখোড় লিখেছেন আনিসুল হক,positive
বল দেখতে পেলে তো মারবে,negative
"বিজন, মনে রাখবেন, দশ চক্রে ভগবানরা আর ভুত হয় না",negative
রোবেনের মধ্যে জিদানের ছায়া দেখা যাচছে,positive
এদেশে আর অবাধ সুষ্ঠ নির্বাচন হবে না,negative
সত্যিটা উন্মোচন করার জন্য স্যারকে ধন্যবাদ,positive
আশাকরি আজও,positive
সাক্ষাৎ​কারটি পরার পর আমার কাজের গতি বেরে গেল,positive
আমরা দেখেছি আমাদের শিক্ষকেরা নিজেদের সমস্ত মনযোগ আর আন্তরিকতা দিয়ে আমাদেরকে পড়াননি,negative
"এটি ভাবতেই ভাল লাগছে যে, আরও একটি বিশ্বকাপের মত বড় ইভেন্টে বাংলাদেশের গর্বের পতাকা উড়বে",positive
সুজনকে বাদ দিয়ে আপনাকে নেওয়া উচিৎ,negative
এত বেদনাবিধুর হাজার স্মৃতির পরো কিছু পাকি প্রভুভক্ত পাকিস্তানের নাম শুনলেই লেজ নেড়ে যায়,negative
এবার দেখ ঠ্যালা - সামলে উঠতে কতদিন লাগে,negative
আমরা জেগে থাকব তাঁর কীর্তি নিয়ে সারা বাংলায়,positive
অন্তত টাই হলেও হবে,negative
এবারের খোড়া দল নিয়েও অনেকদূর গিয়েছে,positive
আমাদের দুর্বলতা আছে বলেই ভারত আমাদের সাথে পেরেছে,negative
শুভ কামনা বাংলাদেশ এর জন্য,positive
সতে্্যর জয় হবেই,positive
বড় দুই দল কোনভাবে একমতে আসলে সব ঠিক হবে,positive
খুবই দুঃখ জনক,negative
দেশ-সমাজতো পাহাড়-সাদৃশ্য,negative
"প্রকাশক, লেখক, কবি-সাহিত্যিক-শিল্পী-সাংবাদিকরা এখন সবাই দলীয় বৃত্তের বাইরে গিয়ে লিখছেনা বলেই আমরা ভাল বই পাচ্ছিনা",negative
"আপনার স্বামী আগেও এরকম 'ব্যাপক সাড়া' পেয়েছিল, কিন্ত বিনিময়ে দেশ পেয়েছিল একজন গডফাদার",negative
আ. লীগ এর পক্ষে কথা বললে কি নিরপেক্ষ হয়ে যাবে?,negative
আপনার সাথে আমি একমত,positive
পড়ালেখা যে শুধু দ্রুত পাশ করে শুধু চাকরিপ পাবার জন্য নয় তা এদের কে বোঝাবে,negative
"তাদেরই জয় হয়েছে, যারা মানব",positive
আমরা,positive
"ক্রিকেটে স্বতন্ত্র বলতে কিছুই থাকল না, আই সি সি হলো ইন্ডিয়ার দালাল",negative
অবশ্যই ভিন্ন কন্ডিশনে অনেক গুরুত্বপূর্ণ,negative
সুতরাং বলেই দেওয়া যায় কি হতে যাচ্ছে,positive
ছবি এত ব্লার কেন?,negative
"হরতাল, অবরোধ, পেট্রল বোমা হলো বিশ দলের নিষ্ঠুর এবং ভয়াবহতম তামাশা",negative
হায় ! আমাদের দুর্ভাগ্য,negative
আর এখন ডি মারিয়া কত গুরুত্তপুর্ন,positive
"রান চ্যালেঞ্জিং, কিন্তু জেতার জন্য যথেষ্ট নয়",negative
বিলিয়ন ডলার কমেন্ট,positive
আওযাজ থাকবো কামনে ভাই সারকারের মেয়াদ সেস হইলেও তার মেয়াদতো সেস হবে না,negative
আপনি যাদের কথা বলেছেন তাঁদের আড়ালে রাজনীতি এখন ভারতীয় দের নিয়ন্ত্রনে,negative
এই লোকের লেখা এতোই biased যে তার লেখা বিরক্তির পর্যায় চলে গেছে...প্রথম আলোতে অ্যাকাউন্টটা খুলতে বাধ্য হয়েছি এই বিরক্তি প্রকাশ করতে...সামনে থেকে যদি একটু ভাল লেখে,negative
ঢাকা উত্তরে ১০-১৩ জন লীগ সমর্থিত কাউন্সিলর পাশ করতে পারে,positive
"নাম প্রকাশে অনিচ্ছুক, ছন্দ না মিললে কবিতা হয় নাকিরে বোকা? মান্নানকে পেইন দিচ্ছেন কেন?",negative
দেখা যাক কোনটা সত্য হয়,positive
কমবে অশান্তি,positive
"সুদিপ সিকদার সাহেব, ইতিহাস জেনে মন্তব্য করুন",negative
"পাপীকে শাস্তি দাও, নয়তো কঠোর ভর্ত্সনা কর",negative
আমি তো মোনালিসার এই ছবিতে হাসির কোন অস্তিত্তই পাই না,positive
এখানে দেওয়ালও দুর্নীতি করে,negative
অসাধারণ লিখছেন,positive
আওয়ামি লীগের সিল লাগিয়ে দাড়ালে জিততে পারবেন না,negative
আমরা ছেরে কথা বলব না,negative
এরই নাম বাঘ,positive
সবাইকে মেরে ভূত বানায়া ফেলছে,negative
এবার বাংলাদেশের পালা,positive
রোহিত শর্মার হয়ে যাওয়া আউট না দেয়ার সাথে তুলনা করছেন কোহলীর আউট না হলে ৪০০ করত এর সাথে.. আমি সাড়ে চার বছর ইন্ডিয়াতে ছিলাম,negative
অথচ আপনি বুঝবার পারলেন না @কবির,negative
শিবিরকে নিষিদ্ধ করা হোক,positive
ট্রাক ভর্তি ইলিশ মাছ আর টাংগাঈল শাড়ী দিয়েও মমতা'র মমতা পাওয়া গেল না,negative
পিপীলিকার পাখা হয় মরিবার তরে,negative
"সেই রাতে তাহের ও তার বাহিনী যত গুলি খুন করেছে তার বিচারের কারনে যদি জিয়াকে আপনি খুনি বলেন, তাহলে মুজিবকে খুনের দায়ে ফারুক-রশিদ-ডালিমের বিচার হওয়াও খুনের আওতায় পড়ে |",negative
এর নাম মানুষের মুক্তির আন্দোলন?,positive
এই কথাটি যথাযথ হয়নি,negative
ডুবন্ত মানুষ খড়-কুটাও আঁকড়ে ধরে-বাঁচার জন্য,positive
"আমরা আম জনতা শান্তি, নিরাপৎতা, অন্য, বসতর, বাসসথান ইত্যাদির সুবিধা চাই যা নাগরিক সমাজ সরকারকে বোঝাতে চাইছেন",positive
"ভাবিয়া বলিও কথা, বলিয়া ভাবিও না",positive
প্রায় এক সপ্তাহ ধরে ঘুরিয়ে-ফিরিয়ে একই খবর পড়তে পড়তে ক্লান্ত হয়ে গেলাম,negative
মাহমুদুললাহ অলরাউন্ডার টাকে না বসিয়ে নাসিরকে বসানোটা একটু বেশী বিলাশীতা হয়ে গেল না ????,negative
অপেক্ষায় আছি আমাদের নায়কদের দেখতে,positive
হায় ! আমার প্রিয় দল দক্ষিন আফ্রিকা,negative
যুক্তিযুক্ত কথা,positive
দেশ শেষ,negative
আবার তিনি ই মামলার আসামী বুঝলাম না কাহিনী ??,negative
কিন্তু ৫ বছর পর পর জনগণ উৎসবের সাথে নিজের ভোট নিজে দিয়ে আশা করে 'এবার হয়তো পরিবর্তন হবে',positive
এই দুই বছর স্টুডেন্ট্রা কি করবে? আগে দেখতাম পুকুর চুরি এখন দেখি সমুদ্র চুরি,negative
সুপ্রভাত বাংলাদেশ,positive
দুই একটি ক্ষেত্রে হামলাকারীরা বিদেশে পালিয়ে গেছে,negative
পাঠকের কিছু সময় বাচতো,negative
আশাবাদী আমরা,positive
উদ্যোগ ইতিবাচক,positive
পে্ট্রোলবোমা যাদের রাজনৈতিক অবলম্বন তাদের ব্যবহার নাসিমের মতো হবে,negative
দু:খজনক,negative
AL মাথার টুপিটা ঠিক রাখতে পেরেছে,negative
স্যার আপনার লেখার আমি একজন অতি ভক্ত,positive
বাজে ফিল্ডিং এবং বাজে কাপ্তানি হারের মূল কারন,negative
মগ দিয়ে বোতলে পেট্রোল ঢালা অনেক সহজ,negative
আমার চোখের সামনে ‘ইলিশ’ নামের একটি গাড়িতে ভাঙচুড় পরে আগুন ধরিয়ে দেওয়া হলো,negative
চুরি করে জেতা দলকে আর যাই বলা যায় সেরা বলা যায় না,negative
জাতীয় ঐক্যমতের গৃহপালিত সরকার,negative
"কতজন নেতা তুলসীপাতা দিয়ে ধোয়া সেটা জনগন যেমন জানেন, সাংবাদিকগনও জানেন",negative
"একজন ব্যাক্তির জন্যে, কোন রাজনৈতিক আদর্শ কিংবা মতবিরোধের জন্যে নয়",negative
এখন এই 0% বা ৫% মার্কা গনতন্ত্রের বারটা বাজলেই কি - তেরটা বাজলেই কি?,negative
সাক্ষাৎকারটি খুব ভালো লাগলো৷ গবেষক ড. হানা-রুথ টমসন এবং প্রথম আলো উভয়কে ধন্যবাদ জানাই৷,positive
স্যার আপনি যে ভাল নেই তা সবার মত আমিও জানি,positive
ওর ফিরে আসার অপেক্ষায় আছি,positive
"’ মোদ্দাকথা হল ছবিটি দেখে সবাই বুঝতে পারবে যে এটা গতানুগতিক .,.,.,. কোন মুভির নকল ভার্সন",positive
বাংলাদেশের মতো বিদেশনির্ভর দেশের জন্য আবেগতাড়িত নীতি আরও বেশি অনিরাপদ,negative
এই বেবস্থা নারীকে অধিকার দেয়ার কথা বলে বাজারের ভোগ্যপণ্য হিসেবে বাজারজাত করে,negative
"মনে হয়েছে নিউজিল্যান্ড C টিম খেলেছে, দিনটা মাটি হল",negative
ভােট জালিয়াতি না করলে ভরাডুবি হইলে নিশ্চয় জনগন দেখবে,negative
সেটা ঠিক আছে,positive
২০০৯ সালে যা ঘটিয়েছিলো সেটি এতোই কলঙ্কজনক এবং অখেলোয়াড় সুলভ যে ওকে অন্তত এক বছরের জন্য বহিষ্কার করা দরকার ছিলো,negative
ইমরুল কে বাদ দিয়ে সৌম্য সরকারকে ওপেনিং করনো হোক,positive
পিছনের ভূল গুলো সুধরে নিয়ে সামনে তাকানোর সময়,positive
প্রত্ত্যেক দলের উচিত নিজ দলের ভিতর আগে গনতন্ত্র চালু করা,positive
"কাউসার, শুনে জানি না মজা পাবে কি না দেশের মানুষ কিন্ত সত্যিই ভালো নেই",negative
সোহরাব হাসান সাহেবের লেখার একটা কদর সব সময় থাকে কিন্তু এই আওয়ামী লীগের ‘ন্যাপ নেতা’ মহিউদ্দীন আহমেদ হেডিং দিয়ে লেখাটা মনে হয় কারও নজর কাড়তে পারেনি,negative
এটা হচ্ছে লেভেল প্লেয়িং ফিল্ড আওয়ামীলীগ স্টাইল,negative
আর নাহিয়ান ভাইকে সুপার লাইক তার অসাধারন মন্তব্যের জন্য,positive
চমৎকার,positive
আওয়ামীলীগ নির্বাচনের আগের কথা যা তারা নিজেরাই বলেছে এখন আবার নিজেরাই তা ভুলে গেছে,negative
এটাই আমাদের জন্য কম কিশে,positive
"নাটকের কিছু নাই, এ হামলা বিএনপি জামাতের",positive
ঠিক বলেছেন,positive
কর্নেল তাহেরকে নতুন প্রজন্মের সামনে সঠিকভাবে তুলে ধরার এই অসাধারণ প্রয়াসের জন্য আপনাকে আন্তরিক ধন্যবাদ,positive
কিন্তু বেশী প্যাচ কশলে যে প্যাচ আর থাকে না সেটির উদাহরন হচ্ছে মাম্প্রতিক হরতাল,positive
সরকার আর কিছুদিন কঠিণ হয়ে থাকলেই বাকি সব দাবী থেকেও সরে আসবে,negative
অবিলম্বে তার পদত্যাগ চাই,negative
দেখা গেছে নির্বাচন কমিশন নিজেদের ক্ষমতা ফিরিয়ে দিয়ে জ্বী হুজুর ! জ্বী হুজুর ! করতে পারলেই নিজেকে ধন্য মনে করে?,negative
আসিতেছে শুভ দিন................. দিনে দিনে বহু বাড়িয়াছে দেনা শুধিতে হইবে ঋণ,negative
অনেক ধন্যবাদ,positive
"মাশরাফির রানাতুঙ্গা হবার প্রয়োজন নেই, সে নিজেই একজন আইডল",positive
ইহা সঠিক হয়নি,negative
বিএনপির অস্তিত্ব দেশের এমন পর্যায়ে পৌছেচে যে আওয়ামীলীগ যত অপচেষ্টাই করুক তাদের বিগত দুঃশাষন ও অত্যাচারের পরেও বিএনপিকে আর ও বেশি শক্তিশালী করেছে,positive
ভালো প্রতিবেদন স্যার,positive
৭১ সনে মুক্তিযুদ্ধ চলাকালীন চীনের ভূমিকা এখানে না টানাই ভাল,negative
ইচ্ছা হচ্ছে বাইরে গিয়ে আমিও সবার সাথে লাফালাফি-নাচানাচি করি,positive
"এদের কথা শুনে মনে হয় গনতন্ত্র, স্বাধীনতা ভুলে গিয়ে ব্রিটিশরা এখনো আমাদের শাসন করলে সবচেয়ে উত্তম হত",negative
"কোন ত্যানা পেঁচানো নয়, সরাসরি আমার কথার উত্তর দিন",negative
আওয়ামী লীগ কু পথে ! বি এন পি সু পথে,negative
জনগনের আস্থা গ্রহন করুন,positive
আমার মনেহয় মুসফিক কিছুদিনের জন্য আরাম করা দরকার,positive
"রাজ্য রাবণের , রাম খলনায়ক আর মানুষ অসহায়",negative
অন্তত আমি পারবো না,negative
চোরের মন পুলিশ পুলিশ,negative
ব্রাজিল যদি সহজ গ্রুপে এ পড়তো তা হলে ব্রাজিলের গ্রুপে ইরান থাকতো... সব গ্রুপে অপেক্ষাকৃত দুর্বল ২/১ টা দল আছে সহজ হিসাব টা আমরা মানতে পারিনা কেন?,positive
পরে ওই কক্ষ থেকে আদালতের দুই কর্মচারীকে উদ্ধার করা হয়,negative
এতো টাকায় কোচ রেখে বাফুফে গরীবের ঘোড়া রোগ দেখিয়ে জাতীকে অপমানিত করার সুযোগ পায় কি করে ???,negative
মুশফিক এর এবার বিদায় নেয়া উচিত,negative
আরও বেশী অ পাইতে পারে,positive
সিপিডির সাথে একমত,positive
হার্ড লাইনে যাওয়া উচিৎ তাদের বিরুদ্ধে যারা ব্যাঙ্গ চিত্র প্রকাশ করেছে,positive
এই টাইপের আরেকটা নির্বাচন!! হা হা হা হা হা,negative
এত সব মৃত্যুর দায়-দায়িত্ব অস্বীকার করার ঔদ্ধত্য দেখিয়ে বাংলাদেশের রাজনীতিতে এখনো টিকে আছেন সেই স্বৈরশাসক,negative
সেই সাথে এটাও বলা যায় যে আঁতুড়ঘরেই তত্ত্বাবধায়ক সরকারকে হত্যা করা হয়েছে,negative
গর্বে বুকটা ভরে গেলো,positive
আপনার হতাসা রয়ে গেল,negative
পদ্মা সেহতু হচ্ছে এটাই আমাদের সবচেয়ে বড় প্রাপ্তি,positive
"বি এন পি বা শিবিরের সম্পৃক্ততা পাওয়া গেলে দেখতেন আইন- শৃঙ্খলা বাহিনী তাদের ভিটায় ঘুঘু চরিয়ে দিত , সরকারের ইচ্ছা নাই এই খুনের প্রতিকারের- এটা দেশবাসী বুঝতে পেরেছে",negative
"আজ যারা চালকের আসনে আছেন, তাঁদেরকে লেখক, বুদ্ধিজীবী, সাংবাদিক, পেশাজিবী ও জনগণ, সকলেই ভয় করে, যদি গুলি মেরে চিরনিদ্রায় শুইয়ে দেয়",negative
জনগণের রক্ত চুষে খাওয়াই যাদের একমাত্র লক্ষ্য,negative
"আশা করি, গণতন্ত্রের এ বিজয়ের ধারা অব্যাহত থাকবে এবং মুক্তিযুদ্ধ চেতনার বিপক্ষের শক্তিরা এভাবেই পরাজয়ের গ্লানিতে পদপিষ্ট হবে",positive
তবুও প্রধানমন্ত্রীর ওপর শান্তি বর্ষিত হোক,positive
"আমরা এই জাতি শুধু সমালোচনা করতে জানি, মাঝেমাঝে ভালো কাজকেও সমালোচনায় পরিনত করি",negative
আমি তো এখনও ভোটই দিলাম না......... জিতলেন কেমনে?,negative
খুব ভালো লেগেছে পড়তে,positive
সেখানে প্রথম বাংলাদেশি গলফার হিসেবে খেলবেন,positive
"এতো অস্থিরতার মাঝে দেশে যেখানে মানুষের জীবন নিয়েই ভাবার লোকের অভা্‌ সেখানে কিছু ভাল মানুষ হনুমানের জীবন নিয়ে ভাবছেন, এটা জেনে স্বস্তিবোধ করছি",positive
জয় হোক সোনার ছেলেদের,positive
বিএনপি এখন যা করছে এটা উন্মুক্ত সন্ত্রাস,negative
আওয়ামী লীগের লেজে আগুন লেছে কারণ নারায়নগজ্ঞর নাড় খুনের আসামীদের বাচাবার পথ রিট করে তিনি রুদ্ধ করে দিয়েছেন ৤,negative
"ওপির সেঞ্চুরী মাঠে বসে দেখা, বুলবুলের টা অফিসের গুরুত্বপূর্ণ কাজের ফাকে মিনি রেডিও তে শোনা, আর তামিমের টা টিভিতে দেখা ... তিন সেঞ্চুরির তিন রকম অভিজ্ঞতা ৷",positive
"মিথ্যার দেশে সত্য অপরাধী হয়ে যায়, তারপরও সত্য অপেক্ষা করে সময়ের জন্য, কারন সময় তাকে বার বার ফিরিয়ে আনে",negative
সব মেডিয়ার বানানো গল্প,negative
আমি আমাদের দেশের নারী-পুরুষের বৈসম্মকারী উত্তরাধীকার আইন মানিনা,positive
টাইগাদের শুভেচ্ছা ও অভিনন্দন,positive
তাজউদ্দীন তাজউদ্দীন তাজউদ্দীন তাজউদ্দীন তাজউদ্দীন-- কিছুই বলার নেই - শুধু বলতে পারি আপনার ঋন কখনো শোধ করতে পারবো না ৷ আল্লাহ পাক আপনাকে বেহেস্ত নসিব করুন,positive
"দেশের বাহিরে গেলে বুজবে, কেমন সিদ্ধান্ত",negative
তাদের প্রার্থীর ওপরও তাদের বিশ্বাস নেই,negative
আজ সেই সাধারণ মানুষের কাছে ভোটচাইতে একটু লজ্জা লজ্জা লাগে এই আর কি অন্য কিছুনা,negative
একটি সুন্দর উপহারের জন্য নববর্ষের শুভেচ্ছা,positive
"একেবারে জ্যমিতির উপপাদ্যের মত পরমানিত @আমিনুল , ১০ শে ১০",positive
স্বাধীনিতা বিরোধীদেরকও বাংলাদেশের রাজনীতিতে ঐ জিয়াই পূনর্বাসিত করেছিল,negative
বিএনপিকে পথে বসিয়েছে কারা??,positive
"লোকে তো কত কথাই বলে, তাতে কিবা আসে যায়, ওরা বোঝেই বা কী?লজ্জা শরম রাখিয়েন না",positive
